"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"rpsM",11.0157354358488,3.60813137168555,1.20782072791907,2.98730704671871,0.00281446895371053,0.00539304311072277
"rplN",6.41918057671811,3.45370032002514,1.31233849052821,2.63171456522245,0.00849552038595886,0.0153714269439513
"rplX",9.36281816401811,3.00759074204726,1.24337538856675,2.41889196915354,0.0155678628945715,0.0272027303063653
"secY",19.9689564021015,2.75193727391394,1.12504040114845,2.44607862180304,0.0144419503616648,0.0253307224597454
"pbp1b",14.4171936130062,3.63583024268706,1.66433159000485,2.18455881299258,0.0289212106002553,0.0476984144974359
"rplK",5.25305418911321,2.34052791942268,1.03524320993096,2.26084836584319,0.0237686484243244,0.0401128353953781
"mutY",2.75945449106566,4.10366419776414,1.76635290923028,2.32324139548783,0.0201661881262109,0.0344846275216451
"rexB",10.851054110116,4.96997449716175,1.80505869978101,2.75335893384781,0.00589871851093967,0.0109460026426513
"gla",2.86231758950894,5.1597725929479,2.10342242972361,2.45303678425921,0.0141655852201204,0.0248836037118012
"dinB",104.35068102755,3.17845228718726,1.15557312192514,2.75054189724669,0.00594967825743847,0.0110317446235605
"msrA",5.75929216584235,4.86738104252678,1.55868136116991,3.12275565986972,0.00179166422098835,0.00351888008870374
"ezrA",6.32828065085161,4.31723591099783,1.79631954643217,2.40337857458194,0.0162443608067921,0.0282783490263773
"cas9",17.109632986081,3.78095697198604,1.57619509619854,2.39878742238504,0.0164494611512536,0.0286139239891184
"galM",2.53741699916459,4.41820727516462,1.84858241367391,2.39005155652422,0.016846007803944,0.029270805772409
"murA",19.0411468986126,2.92165698077759,1.26778825250964,2.30453072505922,0.0211928696512364,0.036147044487831
"pepV",3.38966464731158,4.47979669153717,1.96730337858745,2.27712550097572,0.0227787322784982,0.0386248069070187
"deoD",4.18055270846626,4.77957486391522,2.10075038753965,2.27517504805174,0.0228954310680904,0.0388085082494549
"tatC",1.59565595497802,3.97638916150673,1.80752398182377,2.19990949027111,0.0278133172579313,0.0460348093416759
"coaA",4.9236868614771,4.83675976825754,1.81810441243146,2.66033113125172,0.00780638619766721,0.0142467315546101
"ppc",8.64686147899013,4.56674467872544,1.58971593309483,2.8726796930537,0.00407006541297048,0.00769103158859771
"parC",17.4922628169602,5.69372633094677,1.51682903368526,3.75370341976734,0.00017424100786626,0.000401715110535177
"parE",3.39911971216173,3.83588580421459,1.58700801348425,2.41705509463242,0.0156466486415604,0.0273198255626343
"gorA",4.75843434087293,4.06462589166873,1.85054052820484,2.19645332253907,0.0280595126430604,0.0464091939331587
"brpA",4.69392039064351,4.33497870806348,1.69137518887528,2.56299059876012,0.0103774858448429,0.0185595035860948
"ureC",5.131700844106,4.10188369138599,1.63863164878226,2.50323719454234,0.012306303791295,0.021799067135649
"racE",3.90260393345199,4.99587996050872,2.0865759242347,2.39429579459998,0.0166523132720891,0.028945088350474
"pbp1a",9.24579375301305,4.68767793491495,2.01069610733527,2.33137067198455,0.0197338226123633,0.0337950814553425
"pbp2a",9.29907954605618,4.67091322442556,1.98071551129103,2.35819490370986,0.0183640483161753,0.0316713297047081
"rpoE",3.26518035765682,4.97513974086748,2.03225077448613,2.44809341609205,0.0143614415308189,0.025208566620473
"pnp",7.3422557503963,4.52124461485782,1.41131490991144,3.20356894347663,0.00135735536505261,0.0027082915946729
"groES",4.43076463204653,2.76731920526148,1.22583277916233,2.25750139195374,0.0239767626094766,0.0404199619580751
"tuf",24.3492521454933,3.17021894155039,1.106280166341,2.86565649281758,0.00416145531628796,0.00784775055785958
"rpsD",6.72773656656489,2.63302816273095,1.16060158550596,2.26867531081571,0.0232880780692409,0.0393877442854763
"acnA",20.3560199342125,2.69565151096073,1.08007545235473,2.49579925650917,0.0125673699892292,0.022244532463773
