"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GeneID:97328476",32.1901514102175,10.5809188508268,1.7776246544028,5.95227953472634,2.64433215701046e-09,7.87414659080012e-06
"GeneID:97328712",25.383055269179,10.6759741804219,1.81919926856852,5.8685017990484,4.39750629208811e-09,7.87414659080012e-06
"GeneID:97329913",28.1739102182539,11.3542737030587,1.94282620527869,5.8442045264826,5.08994608325799e-09,7.87414659080012e-06
"GeneID:82186746",112.834855263705,11.5703445887622,1.99987670429814,5.78552895980796,7.22845057594647e-09,8.3868097807419e-06
"GeneID:97327850",108.10389738671,7.88255251465548,1.45439186375482,5.41982715325771,5.96566855781115e-08,1.12917770377187e-05
"GeneID:97328613",27.3236254624903,9.07604901285158,1.68197180689132,5.39607678063657,6.81138078054498e-08,1.12917770377187e-05
"GeneID:97328777",53.558622298424,8.84869151662656,1.6107684657892,5.49345961543338,3.9413526807589e-08,1.12917770377187e-05
"GeneID:97329165",92.2730655466531,7.84760625390809,1.43668643541333,5.4622957803944,4.70016093365231e-08,1.12917770377187e-05
"GeneID:97329603",40.2824225723983,9.5954371118894,1.69270933677667,5.66868564106903,1.43897103196066e-08,1.12917770377187e-05
"GeneID:97330270",108.574658594907,7.55257483338661,1.34849783632427,5.60073188843477,2.13448659628045e-08,1.12917770377187e-05
"GeneID:97330445",59.8326897933175,8.17440920550001,1.47160991441417,5.55473915025516,2.78026629098033e-08,1.12917770377187e-05
"GeneID:97328254",16.5726280325331,9.9858639023156,1.83346200828653,5.4464525892456,5.13842911538557e-08,1.12917770377187e-05
"GeneID:97328263",59.8113460912102,8.36691213793574,1.55306622866915,5.38735050926032,7.15039044368197e-08,1.12917770377187e-05
"GeneID:97328515",46.0039386874494,9.85555419891956,1.80462466331265,5.46127646334406,4.72723211284357e-08,1.12917770377187e-05
"GeneID:97328744",45.8569225843117,9.10102117809732,1.68665673339163,5.39589413655999,6.81831413634887e-08,1.12917770377187e-05
"GeneID:97328745",39.1794171990825,8.38382836017023,1.5544002568831,5.39360973664633,6.90561188232911e-08,1.12917770377187e-05
"GeneID:97328986",23.6199142467098,9.73120112918253,1.72149696816051,5.65275531073442,1.57896009923461e-08,1.12917770377187e-05
"GeneID:97329319",26.8490772638637,9.03024873302497,1.67853406194583,5.37984240996379,7.45510700625323e-08,1.12917770377187e-05
"GeneID:97329486",55.8140199069652,10.1909949072455,1.88679919257182,5.40120800738448,6.61936161611327e-08,1.12917770377187e-05
"GeneID:97330329",35.7864813662966,10.3705614115418,1.88767841886474,5.49381786002443,3.93336167246445e-08,1.12917770377187e-05
"GeneID:97330388",21.8250041548631,9.93990294919778,1.83518922317284,5.41628232319977,6.08509920976043e-08,1.12917770377187e-05
"GeneID:97330466",33.1552914380698,9.88455858287115,1.83116894755716,5.39795008868923,6.74066120776478e-08,1.12917770377187e-05
"GeneID:97330519",27.0371603929321,10.308919607769,1.89284062991023,5.44626919185367,5.14372730943195e-08,1.12917770377187e-05
"GeneID:97330523",24.7267230929269,10.6640613082418,1.89960966487413,5.61381714645486,1.97911353726036e-08,1.12917770377187e-05
"GeneID:97327897",42.4450054773675,10.0630355903888,1.82414674974513,5.5165712910953,3.45677300311611e-08,1.12917770377187e-05
"GeneID:97328139",35.4735661382071,9.73284952535822,1.8000225832167,5.4070707868372,6.40638289203503e-08,1.12917770377187e-05
"GeneID:97330130",32.848375927117,10.5663889915223,1.9597024054402,5.39183345501318,6.97423930396849e-08,1.12917770377187e-05
"GeneID:97327900",27.7025553190872,10.2425423268205,1.88478718711324,5.43432298184713,5.50048711719354e-08,1.12917770377187e-05
"GeneID:97330526",34.0149136566207,11.5800295683706,2.11153604964005,5.48417327298043,4.15407461411432e-08,1.12917770377187e-05
"GeneID:97327864",21.991596709842,10.4696298443508,1.9336520342652,5.41443323763746,6.14831377315113e-08,1.12917770377187e-05
"GeneID:97329438",22.2968340723155,10.1942181027547,1.89563058728891,5.37774510029098,7.54244964812066e-08,1.12917770377187e-05
"GeneID:97328974",32.148033991415,7.66225304427851,1.42752158320811,5.36752167841759,7.98259161220164e-08,1.15772523975712e-05
"GeneID:97330315",21.4975890361189,9.92048798208783,1.85174383549729,5.35737599980922,8.4439280225115e-08,1.18752333189321e-05
"GeneID:97329138",35.8230820894068,9.06314642089005,1.6935278593897,5.35163704018199,8.7162091996933e-08,1.18976255575814e-05
"GeneID:97328576",60.335448503536,7.84508173187209,1.47424627180606,5.32141873573218,1.02961102841198e-07,1.27759248313485e-05
"GeneID:97328736",21.928230775528,9.68107676270479,1.81805581559506,5.32496124687796,1.00974564699941e-07,1.27759248313485e-05
"GeneID:97329934",57.9848386040075,9.08191036556225,1.7075972306929,5.31853191274913,1.04607874076976e-07,1.27759248313485e-05
"GeneID:82185742",55.7453869975882,7.24781549568245,1.36176283322803,5.32237722959561,1.0241990530572e-07,1.27759248313485e-05
"GeneID:97329978",33.9020114867934,8.62568410852602,1.62796113335654,5.2984582566425,1.16784567883038e-07,1.38973635780815e-05
"GeneID:97329190",36.3544095130634,9.28580063575345,1.76217855193436,5.26950042920472,1.36795551040767e-07,1.56330732660651e-05
"GeneID:97330093",26.9768137943229,8.63178271308953,1.63860956462155,5.26774827845161,1.3810730530245e-07,1.56330732660651e-05
"GeneID:97328591",126.549367331787,7.7539276181148,1.48024168659782,5.23828486139744,1.62075764255735e-07,1.60296402483793e-05
"GeneID:97328864",68.685728792742,7.57175084461525,1.44657172674324,5.23427266317587,1.65635792800772e-07,1.60296402483793e-05
"GeneID:97328892",64.2968454928339,7.52212575403257,1.44074292383109,5.22100482300507,1.77954905931191e-07,1.60296402483793e-05
"GeneID:97327951",51.4308635098328,9.01624608346919,1.72686228364181,5.22117262556379,1.77793709523459e-07,1.60296402483793e-05
"GeneID:97328743",32.9575997689367,8.77715339811788,1.67538309673469,5.23889337025333,1.61542336782115e-07,1.60296402483793e-05
"GeneID:97328884",14.8648826754648,9.03177275470455,1.72573007278691,5.23359527490819,1.66244253262925e-07,1.60296402483793e-05
"GeneID:97329004",50.4465300628012,8.03513497877147,1.53777419695344,5.22517219673102,1.73993109894408e-07,1.60296402483793e-05
"GeneID:97329959",54.8093707708448,9.17602894380585,1.75809681201514,5.21929673104194,1.79603812306771e-07,1.60296402483793e-05
"GeneID:97329148",49.2627998215182,9.06820627466908,1.73417353010999,5.22912275918197,1.70316250706808e-07,1.60296402483793e-05
"GeneID:97330196",16.1870422677856,9.23148619869095,1.76561667329279,5.22847701787651,1.70912074213481e-07,1.60296402483793e-05
"GeneID:97330333",16.8506838634966,9.59698577062804,1.83751641233212,5.22280274952639,1.76235090057043e-07,1.60296402483793e-05
"GeneID:97330335",69.1640953138204,8.2460813744606,1.58856959288359,5.19088456143254,2.09297364001847e-07,1.63788695599688e-05
"GeneID:97330594",64.1048523582723,8.13827726725843,1.56392152454487,5.20376319369786,1.95292835488535e-07,1.63788695599688e-05
"GeneID:97328618",28.3201835745741,7.5095553736726,1.44920553607589,5.18184286958131,2.19704268041823e-07,1.63788695599688e-05
"GeneID:97328631",22.0249048863384,9.64149001231743,1.86095141229751,5.18094666448822,2.20762614992854e-07,1.63788695599688e-05
"GeneID:97328879",20.4243073208997,9.29097678891193,1.79066697838991,5.18855649935868,2.11930463486313e-07,1.63788695599688e-05
"GeneID:97328960",41.5537963375728,8.63743793548327,1.66368580058485,5.19174830514684,2.08328510946675e-07,1.63788695599688e-05
"GeneID:97329470",32.4033551352935,9.36759135047627,1.80854777133683,5.17962063205662,2.22337595836681e-07,1.63788695599688e-05
"GeneID:97329907",24.4565204675606,9.16301997460308,1.76463306392587,5.19259225156852,2.07386051503659e-07,1.63788695599688e-05
"GeneID:97330273",30.6978027975818,8.8991786776853,1.71382665559358,5.19257805253537,2.07401873842603e-07,1.63788695599688e-05
"GeneID:97330529",67.7610395477947,10.5252604440496,2.02877871713879,5.18797853858279,2.12589095940615e-07,1.63788695599688e-05
"GeneID:97328702",21.1598270347341,10.9068321464819,2.10113774745305,5.19091723505654,2.09260635198283e-07,1.63788695599688e-05
"GeneID:97327912",60.406075013728,7.59699686399899,1.47575379737668,5.14787553147653,2.63453204711656e-07,1.75772411598562e-05
"GeneID:97328619",41.7326549888012,7.37236987156642,1.43190051138814,5.14866068761954,2.62352979470137e-07,1.75772411598562e-05
"GeneID:97328329",32.4302752680287,9.04882121980421,1.75368294243583,5.15989578323411,2.47087347587459e-07,1.75772411598562e-05
"GeneID:97328346",40.6019067935537,9.50456175354918,1.84526685399201,5.15077899599575,2.59406725312226e-07,1.75772411598562e-05
"GeneID:97329487",48.6605996446866,9.03551577165851,1.75559594970419,5.14669435936041,2.65116759575509e-07,1.75772411598562e-05
"GeneID:97329537",32.1279654417913,7.74514068262485,1.50480547836869,5.1469381218768,2.64772617349736e-07,1.75772411598562e-05
"GeneID:97330596",41.739618602974,8.746711822159,1.69922514758384,5.1474707954953,2.64022093427578e-07,1.75772411598562e-05
"GeneID:97328454",65.7427973913026,8.19505684587356,1.59836361271662,5.12715428496589,2.94154453279626e-07,1.77794500792304e-05
"GeneID:97330142",148.584118733583,7.10010937283389,1.38256091787586,5.13547669475742,2.81429755284035e-07,1.77794500792304e-05
"GeneID:97327911",43.7861268797997,8.63206091672901,1.68377092152176,5.12662429692485,2.94983334647866e-07,1.77794500792304e-05
"GeneID:97328126",54.3221369041259,8.6853299602179,1.69378975048997,5.12774974444465,2.93225860000299e-07,1.77794500792304e-05
"GeneID:97330144",33.0409270315441,8.29318640732226,1.6169594181543,5.12887727064211,2.91475280533913e-07,1.77794500792304e-05
"GeneID:97330525",34.6869086810848,10.0216169716122,1.9515468517105,5.13521720620157,2.81818350305921e-07,1.77794500792304e-05
"GeneID:97330311",8.44652852654204,9.20992666274858,1.79517506823149,5.13037799250504,2.89160932558665e-07,1.77794500792304e-05
"GeneID:97330081",109.468670093874,7.7264945570583,1.5111482998136,5.11299556635929,3.1708974349642e-07,1.79955626794674e-05
"GeneID:97328592",29.8034300504687,9.30228643555386,1.82114691450478,5.10792751615176,3.25711541709817e-07,1.79955626794674e-05
"GeneID:97329191",21.0799135244795,9.95666855768815,1.94879974290033,5.1091286285116,3.23647968031678e-07,1.79955626794674e-05
"GeneID:97329994",132.418626152374,8.97332484714277,1.75501432998882,5.11296386235203,3.17142987304174e-07,1.79955626794674e-05
"GeneID:97330433",54.2341023191821,8.53426295145577,1.66939618420693,5.11218549089358,3.18452897408454e-07,1.79955626794674e-05
"GeneID:97330516",283.855323831049,10.8204787495668,2.11706270306018,5.11108090182023,3.20320763967872e-07,1.79955626794674e-05
