"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GeneID:82187217",35.804165662964,-25.5750273844121,2.5775726300923,-9.92213646507267,3.33539066288159e-23,1.50526180615846e-19
"GeneID:82188387",32.4246494343645,-18.6670685389609,2.47012693394467,-7.55712926426439,4.12062417491042e-14,9.29818845068536e-11
"GeneID:82186746",112.834855263705,11.2664897741396,2.11154981612752,5.33564952533385,9.52031363517829e-08,0.000107412938588899
"GeneID:82187612",14.4253310306568,-14.6957139246093,2.74104330850773,-5.3613578008769,8.25987292319898e-08,0.000107412938588899
"GeneID:97329881",32.5842354675191,9.85947435814054,2.09957115723866,4.69594675281576,2.65374670329063e-06,0.00199605981199177
"GeneID:82186745",25.2200195687559,10.3763352358423,2.19828638698462,4.72019264517918,2.3562138497026e-06,0.00199605981199177
"GeneID:97329959",54.8093707708448,8.47005422494977,1.86951328601779,4.53061996846872,5.88108469134099e-06,0.00379161931600313
"GeneID:97328864",68.685728792742,6.44571978604624,1.5460873970799,4.1690526668934,3.05868310359416e-05,0.00691865341156397
"GeneID:97329165",92.2730655466531,6.47474486602916,1.53343210298762,4.22238771016615,2.4172783469827e-05,0.00691865341156397
"GeneID:97330157",65.111133833971,7.57861068354571,1.81718588774928,4.17052032741262,3.03904944209289e-05,0.00691865341156397
"GeneID:97330270",108.574658594907,6.09002918844079,1.44006299360476,4.22900193636408,2.34730325969583e-05,0.00691865341156397
"GeneID:82188694",48.8630325060415,6.40176963863271,1.52510350775949,4.19759682281334,2.69762335795698e-05,0.00691865341156397
"GeneID:97328941",67.2217084462849,7.61636741923189,1.82712397999436,4.1685006067598,3.0660994511695e-05,0.00691865341156397
"GeneID:97329486",55.8140199069652,8.40523384374654,2.00962454956086,4.18248963249541,2.88334169970086e-05,0.00691865341156397
"GeneID:97329842",43.8626511155185,8.58503369768271,1.96377897207234,4.37169040903982,1.23288263172078e-05,0.00691865341156397
"GeneID:97330195",49.7183875901927,8.05132690707382,1.92644475122255,4.17937078235144,2.92316756098835e-05,0.00691865341156397
"GeneID:97330417",131.309821260414,7.74108737704701,1.84396393570946,4.19806875131136,2.69200911687288e-05,0.00691865341156397
"GeneID:82187250",150.687878326657,6.5484833858047,1.51574502046838,4.32030671212836,1.55812482930108e-05,0.00691865341156397
"GeneID:97327916",54.4987469227776,8.65722078702858,2.06735637850996,4.18758027257412,2.81944314505655e-05,0.00691865341156397
"GeneID:82189065",49.5472219810468,8.07340818138699,1.87379425074387,4.30858840461377,1.64299803027266e-05,0.00691865341156397
"GeneID:97327951",51.4308635098328,7.60608832517186,1.8427717421289,4.12752602575986,3.66686941734629e-05,0.00719968196182243
"GeneID:97328615",70.2791587622919,8.02116031073685,1.93614079335848,4.14286003283013,3.43001298441166e-05,0.00719968196182243
"GeneID:82186761",40.0220837339403,8.64046297090453,2.09345108892532,4.1273775234654,3.66923742791748e-05,0.00719968196182243
"GeneID:97328158",53.1287117826354,7.79785937723509,1.89898437762545,4.10633150494149,4.01992449551715e-05,0.00741049398457048
"GeneID:97328616",35.2662647571574,7.21539720767064,1.75921605808136,4.10148439387252,4.10508197682832e-05,0.00741049398457048
"GeneID:82185678",192.621712648189,5.93047540345372,1.46499716548336,4.04811390982933,5.16320183108095e-05,0.00741184100527592
"GeneID:82188138",24.7957403987068,8.52781652157339,2.08572224502834,4.08866355139128,4.33865595707043e-05,0.00741184100527592
"GeneID:97328254",16.5726280325331,7.94095602562121,1.97202950907267,4.0267937112946,5.65425978814539e-05,0.00741184100527592
"GeneID:97328655",67.6044853123565,7.37166251632953,1.83804870288286,4.01059150650772,6.05668207506813e-05,0.00741184100527592
"GeneID:97328927",52.6733323860766,8.04678690040349,1.99617318998222,4.03110658974192,5.55148585063252e-05,0.00741184100527592
"GeneID:97329107",53.3406353460899,6.47120583925176,1.59125936034173,4.06671973188709,4.76795279066786e-05,0.00741184100527592
